Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","2022","2022","","129.75","E","Estimated value"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2051","Agriculture","2023","2023","","133.58","E","Estimated value"
